Title,Genre,Director,Year,Runtime (Minutes),Rating,Votes
Vicky Cristina Barcelona,Drama,Woody Allen,2008,96,7.1,208770
Kung Fu Panda,Animation,Mark Osborne,2008,92,7.6,329788
Barbershop: The Next Cut,Comedy,Malcolm D. Lee,2016,111,5.9,9993
Terminator Salvation,Action,McG,2009,115,6.6,297093
Freedom Writers,Biography,Richard LaGravenese,2007,123,7.5,55648
The Hills Have Eyes,Horror,Alexandre Aja,2006,107,6.4,136642
Changeling,Biography,Clint Eastwood,2008,141,7.8,206793
Remember Me,Drama,Allen Coulter,2010,113,7.2,119376
Koe no katachi,Animation,Naoko Yamada,2016,129,8.4,2421
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Comedy,Miguel Arteta,2014,81,6.2,32310
Locke,Drama,Steven Knight,2013,85,7.1,100890
The 9th Life of Louis Drax,Mystery,Alexandre Aja,2016,108,6.3,6175
Horns,Drama,Alexandre Aja,2013,120,6.5,61060
Indignation,Drama,James Schamus,2016,110,6.9,7402
The Stanford Prison Experiment,Biography,Kyle Patrick Alvarez,2015,122,6.9,20907
Diary of a Wimpy Kid: Rodrick Rules,Comedy,David Bowers,2011,99,6.6,20194
Mission: Impossible III,Action,J.J. Abrams,2006,126,6.9,270429
En man som heter Ove,Comedy,Hannes Holm,2015,116,7.7,21569
Dragonball Evolution,Action,James Wong,2009,85,2.7,59512
Red Dawn,Action,Dan Bradley,2012,93,5.4,64584
One Day,Drama,Lone Scherfig,2011,107,7,113599
Life as We Know It,Comedy,Greg Berlanti,2010,114,6.6,101301
28 Weeks Later,Drama,Juan Carlos Fresnadillo,2007,100,7,221858
Warm Bodies,Comedy,Jonathan Levine,2013,98,6.9,193579
Blue Jasmine,Drama,Woody Allen,2013,98,7.3,160592
G.I. Joe: Retaliation,Action,Jon M. Chu,2013,110,5.8,152145
Wrath of the Titans,Action,Jonathan Liebesman,2012,99,5.8,159230
Shin Gojira,Action,Hideaki Anno,2016,120,6.9,8365
Saving Mr. Banks,Biography,John Lee Hancock,2013,125,7.5,125693
Transcendence,Drama,Wally Pfister,2014,119,6.3,184564
Rio,Animation,Carlos Saldanha,2011,96,6.9,173919
Equals,Drama,Drake Doremus,2015,101,6.1,16361
Babel,Drama,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,2006,143,7.5,253417
The Tree of Life,Drama,Terrence Malick,2011,139,6.8,143517
The Lucky One,Drama,Scott Hicks,2012,101,6.5,82874
Piranha 3D,Comedy,Alexandre Aja,2010,88,5.5,75262
50/50,Comedy,Jonathan Levine,2011,100,7.7,281625
The Intent,Crime,Femi Oyeniran,2016,104,3.5,202
This Is 40,Comedy,Judd Apatow,2012,134,6.2,108156
Real Steel,Action,Shawn Levy,2011,127,7.1,264480
Sex and the City,Comedy,Michael Patrick King,2008,145,5.5,102547
Rambo,Action,Sylvester Stallone,2008,92,7.1,187077
Planet Terror,Action,Robert Rodriguez,2007,105,7.1,174553
Concussion,Biography,Peter Landesman,2015,123,7.1,61274
The Fall,Adventure,Tarsem Singh,2006,117,7.9,93036
The Ugly Truth,Comedy,Robert Luketic,2009,96,6.5,172558
Bride Wars,Comedy,Gary Winick,2009,89,5.5,83976
Sleeping with Other People,Comedy,Leslye Headland,2015,101,6.5,27730
Snakes on a Plane,Action,David R. Ellis,2006,105,5.6,118905
What If,Comedy,Michael Dowse,2013,98,6.8,55243
How to Train Your Dragon 2,Animation,Dean DeBlois,2014,102,7.9,237565
RoboCop,Action,JosÃ© Padilha,2014,117,6.2,190833
In Dubious Battle,Drama,James Franco,2016,110,6.2,1455
"Hello, My Name Is Doris",Comedy,Michael Showalter,2015,95,6.7,12361
Ocean's Thirteen,Crime,Steven Soderbergh,2007,122,6.9,269581
Slither,Comedy,James Gunn,2006,95,6.5,64351
Contagion,Drama,Steven Soderbergh,2011,106,6.6,187004
Il racconto dei racconti - Tale of Tales,Drama,Matteo Garrone,2015,133,6.4,17565
I Am the Pretty Thing That Lives in the House,Thriller,Oz Perkins,2016,87,4.7,4204
Bridge to Terabithia,Adventure,Gabor Csupo,2007,96,7.2,117297
Coherence,Mystery,James Ward Byrkit,2013,89,7.2,66265
Notorious,Biography,George Tillman Jr.,2009,122,6.7,33007
Goksung,Drama,Hong-jin Na,2016,156,7.5,17962
The Expendables 2,Action,Simon West,2012,103,6.6,257395
The Girl Next Door,Crime,Gregory Wilson,2007,91,6.7,19351
Perfume: The Story of a Murderer,Crime,Tom Tykwer,2006,147,7.5,199387
The Golden Compass,Adventure,Chris Weitz,2007,113,6.1,155078
Centurion,Action,Neil Marshall,2010,97,6.4,67801
Scouts Guide to the Zombie Apocalypse,Action,Christopher Landon,2015,93,6.3,31651
17 Again,Comedy,Burr Steers,2009,102,6.4,152808
No Escape,Action,John Erick Dowdle,2015,103,6.8,57921
Superman Returns,Action,Bryan Singer,2006,154,6.1,246797
The Twilight Saga: Breaking Dawn - Part 1,Adventure,Bill Condon,2011,117,4.9,190244
Precious,Drama,Lee Daniels,2009,110,7.3,91623
The Sea of Trees,Drama,Gus Van Sant,2015,110,5.9,7475
Good Kids,Comedy,Chris McCoy,2016,86,6.1,3843
The Master,Drama,Paul Thomas Anderson,2012,144,7.1,112902
Footloose,Comedy,Craig Brewer,2011,113,5.9,39380
If I Stay,Drama,R.J. Cutler,2014,107,6.8,92170
The Ticket,Drama,Ido Fluk,2016,97,5.4,924
Detour,Thriller,Christopher Smith,2016,97,6.3,2205
The Love Witch,Comedy,Anna Biller,2016,120,6.2,4669
Talladega Nights: The Ballad of Ricky Bobby,Action,Adam McKay,2006,108,6.6,137502
The Human Centipede (First Sequence),Horror,Tom Six,2009,92,4.4,60655
Super,Comedy,James Gunn,2010,96,6.8,64535
The Siege of Jadotville,Action,Richie Smyth,2016,108,7.3,14689
Up in the Air,Drama,Jason Reitman,2009,109,7.4,279694
The Midnight Meat Train,Horror,RyÃ»hei Kitamura,2008,98,6.1,50255
The Twilight Saga: Eclipse,Adventure,David Slade,2010,124,4.9,192740
Transpecos,Thriller,Greg Kwedar,2016,86,5.8,1292
What's Your Number?,Comedy,Mark Mylod,2011,106,6.1,62095
Riddick,Action,David Twohy,2013,119,6.4,132098
Triangle,Fantasy,Christopher Smith,2009,99,6.9,72533
The Butler,Biography,Lee Daniels,2013,132,7.2,93322
King Cobra,Crime,Justin Kelly,2016,91,5.6,3990
After Earth,Action,M. Night Shyamalan,2013,100,4.9,166512
Kicks,Adventure,Justin Tipping,2016,80,6.1,2417
Me and Earl and the Dying Girl,Comedy,Alfonso Gomez-Rejon,2015,105,7.8,92076
The Descendants,Comedy,Alexander Payne,2011,115,7.3,211348
Sex and the City 2,Comedy,Michael Patrick King,2010,146,4.3,62403
The Kings of Summer,Adventure,Jordan Vogt-Roberts,2013,95,7.2,65653
Death Race,Action,Paul W.S. Anderson,2008,105,6.4,173731
That Awkward Moment,Comedy,Tom Gormican,2014,94,6.2,81823
Legion,Action,Scott Stewart,2010,100,5.2,84158
End of Watch,Crime,David Ayer,2012,109,7.7,192190
3 Days to Kill,Action,McG,2014,117,6.2,73567
Lucky Number Slevin,Crime,Paul McGuigan,2006,110,7.8,271940
Trance,Crime,Danny Boyle,2013,101,7,97141
Into the Forest,Drama,Patricia Rozema,2015,101,5.9,10220
The Other Boleyn Girl,Biography,Justin Chadwick,2008,115,6.7,88260
I Spit on Your Grave,Crime,Steven R. Monroe,2010,108,6.3,60133
Custody,Drama,James Lapine,2016,104,6.9,280
Inland Empire,Drama,David Lynch,2006,180,7,44227
L'odyssÃ©e,Adventure,JÃ©rÃ´me Salle,2016,122,6.7,1810
The Walk,Adventure,Robert Zemeckis,2015,123,7.3,92378
Wrecker,Action,Micheal Bafaro,2015,83,3.5,1210
The Lone Ranger,Action,Gore Verbinski,2013,150,6.5,190855
Texas Chainsaw 3D,Horror,John Luessenhop,2013,92,4.8,37060
Disturbia,Drama,D.J. Caruso,2007,105,6.9,193491
Rock of Ages,Comedy,Adam Shankman,2012,123,5.9,64513
Scream 4,Horror,Wes Craven,2011,111,6.2,108544
Queen of Katwe,Biography,Mira Nair,2016,124,7.4,6753
My Big Fat Greek Wedding 2,Comedy,Kirk Jones,2016,94,6,20966
Dark Places,Drama,Gilles Paquet-Brenner,2015,113,6.2,31634
Amateur Night,Comedy,Lisa Addario,2016,92,5,2229
It's Only the End of the World,Drama,Xavier Dolan,2016,97,7,10658
The Skin I Live In,Drama,Pedro AlmodÃ³var,2011,120,7.6,108772
Miracles from Heaven,Biography,Patricia Riggen,2016,109,7,12048
Annie,Comedy,Will Gluck,2014,118,5.3,27312
Across the Universe,Drama,Julie Taymor,2007,133,7.4,95172
Let's Be Cops,Comedy,Luke Greenfield,2014,104,6.5,112729
Max,Adventure,Boaz Yakin,2015,111,6.8,21405
Your Highness,Adventure,David Gordon Green,2011,102,5.6,87904
Final Destination 5,Horror,Steven Quale,2011,92,5.9,88000
Endless Love,Drama,Shana Feste,2014,104,6.3,33688
Martyrs,Horror,Pascal Laugier,2008,99,7.1,63785
Selma,Biography,Ava DuVernay,2014,128,7.5,67637
Underworld: Rise of the Lycans,Action,Patrick Tatopoulos,2009,92,6.6,129708
Taare Zameen Par,Drama,Aamir Khan,2007,165,8.5,102697
Take Me Home Tonight,Comedy,Michael Dowse,2011,97,6.3,45419
Resident Evil: Afterlife,Action,Paul W.S. Anderson,2010,97,5.9,140900
Project X,Comedy,Nima Nourizadeh,2012,88,6.7,164088
Secret in Their Eyes,Crime,Billy Ray,2015,111,6.2,27585
Hostel: Part II,Horror,Eli Roth,2007,94,5.5,73152
Step Up 2: The Streets,Drama,Jon M. Chu,2008,98,6.2,70699
Search Party,Adventure,Scot Armstrong,2014,93,5.6,4881
Nine Lives,Comedy,Barry Sonnenfeld,2016,87,5.3,12435
